AGEN,GOV'T AGENCY
ANIMCLI,ANIMAL CLINIC
BTP,BEAUTY PARLOR
CIDIREC,CONSUMER DIRECT SELLERS
DIRSALE,DIRECT SELLER
DISTRIB,DISTRIBUTOR
DRG,DRUGSTORE
FRM,FARM
GASST,GASOLINE SERVICE STATION
HFDIREC,HEALTH FOODS DIRECT SELLERS
HOS,HOSPITAL
MEDCL,MEDICAL CLINIC
OTH,OTHERS
PETSHOP,PET SHOP
POULTRY,POULTRY SUPPLY
PROF,PROFESSION
PWS,PAWNSHOP
RES/FAS,RESTAURANTS/FASTFOOD CHAINS
SPM,SUPERMARKET
STR,STORE
TOLLING,TOLLING
VETCLI,VETERINARY CLINIC
