BAC,BACOLOD,V
CDO,CAGAYAN DE ORO,M
CEB,CEBU,V
CHA,CHAIN ACCOUNTS,V
DAV,DAVAO,M
EMP,EMPLOYEES,L
EXP,EXPORT,L
ILO,ILOILO,V
MMANILA,METRO MANILA,L
NOR-L,NORTH LUZON,L
SMARKET,SUPERMARKET,L
SOU-L,SOUTH LUZON,L
SPE,SPECIAL ACCOUNTS,L
TOLL,TOLLING,L
WAL,WALK-IN ACCOUNT,L
ZAM,ZAMBOANGA,M
